Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2010,2011,2015
AFG,Afghanistan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,6
AFG,Afghanistan,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.6
AFG,Afghanistan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,162
AGO,Angola,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,19.3
AGO,Angola,24719,Country rank and value in the ITU ICT Development Index,Value,,,2
AGO,Angola,24720,Country rank and value in the ITU ICT Development Index,Rank,,,152
ALB,Albania,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,40.6
ALB,Albania,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.6
ALB,Albania,24720,Country rank and value in the ITU ICT Development Index,Rank,,,92
AND,Andorra,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,42.1
AND,Andorra,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.4
AND,Andorra,24720,Country rank and value in the ITU ICT Development Index,Rank,,,29
ARE,United Arab Emirates,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,92
ARE,United Arab Emirates,24719,Country rank and value in the ITU ICT Development Index,Value,,,7
ARE,United Arab Emirates,24720,Country rank and value in the ITU ICT Development Index,Rank,,,35
ARG,Argentina,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,67.3
ARG,Argentina,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.2
ARG,Argentina,24720,Country rank and value in the ITU ICT Development Index,Rank,,,56
ARM,Armenia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,41.3
ARM,Armenia,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.3
ARM,Armenia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,71
ATG,Antigua and Barbuda,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,33.8
ATG,Antigua and Barbuda,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.4
ATG,Antigua and Barbuda,24720,Country rank and value in the ITU ICT Development Index,Rank,,,70
AUS,Australia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,112.9
AUS,Australia,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.2
AUS,Australia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,12
AUT,Austria,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,68.6
AUT,Austria,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.5
AUT,Austria,24720,Country rank and value in the ITU ICT Development Index,Rank,,,24
AZE,Azerbaijan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,60.9
AZE,Azerbaijan,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.2
AZE,Azerbaijan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,55
BDI,Burundi,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,7.6
BDI,Burundi,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.2
BDI,Burundi,24720,Country rank and value in the ITU ICT Development Index,Rank,,,173
BEL,Belgium,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,66.6
BEL,Belgium,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.7
BEL,Belgium,24720,Country rank and value in the ITU ICT Development Index,Rank,,,22
BEN,Benin,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,4.2
BEN,Benin,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.8
BEN,Benin,24720,Country rank and value in the ITU ICT Development Index,Rank,,,156
BFA,Burkina Faso,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,15.4
BFA,Burkina Faso,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.6
BFA,Burkina Faso,24720,Country rank and value in the ITU ICT Development Index,Rank,,,164
BGD,Bangladesh,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,13.5
